Date;Survey;Borough;Measure;Proportion;MPS
31/12/2019;PAS;Sutton;Trust MPS;0,85;0,84
31/12/2019;PAS;Tower Hamlets;Trust MPS;0,81;0,84
31/12/2019;PAS;Waltham Forest;Trust MPS;0,79;0,84
31/12/2019;PAS;Wandsworth;Trust MPS;0,83;0,84
31/12/2019;PAS;City of Westminster;Trust MPS;0,88;0,84
31/03/2020;PAS;Barking and Dagenham;Trust MPS;0,85;0,83
31/03/2020;PAS;Barnet;Trust MPS;0,91;0,83
31/03/2020;PAS;Bexley;Trust MPS;0,88;0,83
31/03/2020;PAS;Brent;Trust MPS;0,91;0,83
31/03/2020;PAS;Bromley;Trust MPS;0,89;0,83
31/03/2020;PAS;Camden;Trust MPS;0,79;0,83
31/03/2020;PAS;Croydon;Trust MPS;0,81;0,83
31/03/2020;PAS;Ealing;Trust MPS;0,89;0,83
31/03/2020;PAS;Enfield;Trust MPS;0,74;0,83
31/03/2020;PAS;Greenwich;Trust MPS;0,81;0,83
31/03/2020;PAS;Hackney;Trust MPS;0,72;0,83
31/03/2020;PAS;Hammersmith and Fulham;Trust MPS;0,84;0,83
31/03/2020;PAS;Haringey;Trust MPS;0,77;0,83
31/03/2020;PAS;Harrow;Trust MPS;0,87;0,83
31/03/2020;PAS;Havering;Trust MPS;0,85;0,83
31/03/2020;PAS;Hillingdon;Trust MPS;0,85;0,83
31/03/2020;PAS;Hounslow;Trust MPS;0,88;0,83
31/03/2020;PAS;Islington;Trust MPS;0,76;0,83
31/03/2020;PAS;Kensington and Chelsea;Trust MPS;0,88;0,83
31/03/2020;PAS;Kingston upon Thames;Trust MPS;0,89;0,83
31/03/2020;PAS;Lambeth;Trust MPS;0,75;0,83
31/03/2020;PAS;Lewisham;Trust MPS;0,74;0,83
31/03/2020;PAS;Merton;Trust MPS;0,85;0,83
31/03/2020;PAS;Newham;Trust MPS;0,79;0,83
31/03/2020;PAS;Redbridge;Trust MPS;0,86;0,83
31/03/2020;PAS;Richmond upon Thames;Trust MPS;0,88;0,83
31/03/2020;PAS;Southwark;Trust MPS;0,87;0,83
31/03/2020;PAS;Sutton;Trust MPS;0,86;0,83
31/03/2020;PAS;Tower Hamlets;Trust MPS;0,85;0,83
31/03/2020;PAS;Waltham Forest;Trust MPS;0,78;0,83
